label,model,mean_spearman,std_spearman,mean_r2,std_r2,mean_pearson,mean_rmse,mean_mae,mean_auroc,mean_auprc
both,elasticnet,0.6498400412796699,0.1365463823706674,0.5246154761731961,0.12090499931004807,0.7578808124554699,0.3688570109992091,0.2941022245588789,0.8361276365603028,0.857223049288754
both,rf,0.6225180598555212,0.12726816835962929,0.4894449207739737,0.19511283600485332,0.732599637647681,0.37876583420782717,0.29775396499494716,0.8112493239588967,0.8364225848092791
both,ridge,0.5964499484004129,0.11455258694241251,0.426709970610794,0.11661762309640217,0.697735309238946,0.4061462513521915,0.3264116165032113,0.8112493239588967,0.8317377735342373
both,lasso,0.5912641898864809,0.13997516811140698,0.47352719923668146,0.14468677851506095,0.7155586303977663,0.387063506628224,0.31108172319883587,0.8166576527852893,0.8476309580735115
any,rf,0.5580677361853832,0.10688987683143082,0.34686129064179105,0.11715021912439595,0.6209697505685317,0.45142810567191316,0.3298726288020532,0.7752393980848152,0.7813046769769842
both,lgbm,0.5574303405572756,0.1254037231854498,0.3527491505586559,0.2433276747356344,0.6627229715772239,0.42639635298452805,0.33311415480060874,0.824229313142239,0.7901095041577784
hdr,rf,0.5558487208008899,0.09083560883522,0.37723290672956766,0.14287002582430175,0.6516838267311813,0.47099395704916874,0.3474830294903591,0.7641614216956683,0.786705549137122
hdr,elasticnet,0.5525574447799141,0.11265634522933021,0.3914710833801021,0.12377361025131703,0.6658291785994915,0.4671798392326308,0.3600558752439364,0.7437985931136616,0.7930066136221869
any,xgb,0.5473022663610899,0.10073597655685881,0.3060573941107505,0.15114649628620344,0.6045220465367188,0.4646229606490783,0.3366053580881957,0.7740082079343364,0.7885049435592144
cisplatin,ridge,0.5437154150197628,0.13110783497696807,0.3190638258486331,0.1595316322639034,0.6074616670935845,0.45843460036337463,0.3566209317637235,0.7841322314049586,0.833082955689983
any,gbm,0.5402689075630251,0.08956698336884798,0.27154646872797544,0.1751966889829038,0.5912562557583252,0.4768275407939017,0.3426008248469099,0.7741450068399452,0.7935382657392831
any,lgbm,0.5400152788388083,0.1350915004634095,0.2767148714430692,0.1780529148643574,0.5930552709517753,0.4711720929741295,0.3443990372856711,0.7818057455540355,0.7883687968550206
hdr,lgbm,0.5390675353567455,0.13760342955012164,0.34135243909317414,0.15500030784945723,0.6479436112326141,0.4808683636138976,0.36351178936001605,0.776749352091818,0.7970624574241107
hdr,xgb,0.5361817892896868,0.11219975450475266,0.33494978342983084,0.14567805904975548,0.6369232692743609,0.48386299857485787,0.35194794303190896,0.7649018881895593,0.7899390664294038
any,ridge,0.535650623885918,0.1247957010108229,0.3524513577360549,0.1126347250217562,0.6249802154601399,0.45069974298986515,0.33834633813525533,0.7666210670314638,0.7873676096472074
hdr,gbm,0.5349810901001112,0.09729972818883413,0.3347490680809937,0.1533968435975655,0.6341432658062022,0.4829766271530601,0.3548880306767371,0.7637911884487227,0.7939464966591577
hdr,lasso,0.5349302399491497,0.12959073963850107,0.35610520741606416,0.17796004442941565,0.6452292085302578,0.47524704463556944,0.36710750391921876,0.735653461680859,0.784953481412444
hdr,ridge,0.5323928174161766,0.12329783163701943,0.3317517742508859,0.17565042075724016,0.6269857568184165,0.4852405050327001,0.3742630580210807,0.7417623102554608,0.7734905277173214
any,lasso,0.5322546473134708,0.12450099904826878,0.35410786128463806,0.1369216809029162,0.6313526489845667,0.4484463197944202,0.336663347489107,0.7668946648426812,0.7844398954145855
cisplatin,elasticnet,0.5288537549407115,0.1234561788763304,0.35019837642462553,0.14913210319833345,0.6210023794656176,0.44792135949999107,0.3451440267727522,0.7871074380165289,0.8336839116956902
