ablation,model,n_features,cv_auroc_mean,cv_auroc_std,cv_ap_mean,cv_ap_std,cv_rmse_mean,cv_rmse_std,test_auroc,mean_pred_std,ci_coverage,strategy,removed_group,added_group
drop_alphamissense,linear_regression,21,0.7474333983105913,0.06725934041173279,0.692472982527162,0.09954985866159959,0.05159433418329716,0.003912118947885036,0.7753623188405797,0.6050937585137487,1.0,leave_one_out,alphamissense,
drop_alphamissense,random_forest,21,0.7729694606887589,0.007068498377373537,0.6775264553958411,0.034061961308066616,0.051906636647668945,0.005589718178750497,0.7355072463768116,0.3116900282727179,1.0,leave_one_out,alphamissense,
drop_alphamissense,xgboost,21,0.7029239766081872,0.058915994506626476,0.6288581489237925,0.08925417368897717,0.057404230483245944,0.008394802677273926,0.7427536231884058,0.11518125380151957,1.0,leave_one_out,alphamissense,
drop_global_structural,linear_regression,19,0.8560753736192332,0.0700094902101393,0.7685056773864825,0.13614361251837317,0.045198035400341105,0.00288230946232304,0.7971014492753624,0.47156029159228874,1.0,leave_one_out,global_structural,
drop_global_structural,random_forest,19,0.8261208576998051,0.09414718121105262,0.7225806730631292,0.13067414937093622,0.04912937824988125,0.005639648024493976,0.7282608695652174,0.2599832528464799,1.0,leave_one_out,global_structural,
drop_global_structural,xgboost,19,0.8359324236517217,0.07752252540033448,0.7556502058695042,0.12624322259866558,0.05001879647588272,0.009656715215425769,0.7427536231884058,0.09317678997166794,1.0,leave_one_out,global_structural,
drop_local_structural,linear_regression,17,0.8593892137751787,0.059169063170753655,0.7937417520750853,0.11738267757188814,0.04482921459789353,0.0023154165902700787,0.8115942028985508,0.4455360118275893,1.0,leave_one_out,local_structural,
drop_local_structural,random_forest,17,0.8935022742040287,0.03791599778285797,0.8276883610216945,0.09747295304546381,0.047201950878801045,0.006169804099126863,0.786231884057971,0.24908668516173357,1.0,leave_one_out,local_structural,
drop_local_structural,xgboost,17,0.8714749837556856,0.06449352099627068,0.8099685413772102,0.12194355368294844,0.04900840857720128,0.007326240436665502,0.7644927536231885,0.09021393123908625,1.0,leave_one_out,local_structural,
drop_biochemical,linear_regression,13,0.85685510071475,0.09455711512682081,0.7812628523103239,0.14340299113112212,0.044444216123179184,0.004307957006059587,0.7572463768115942,0.3949408459346615,1.0,leave_one_out,biochemical,
drop_biochemical,random_forest,13,0.8087069525666017,0.09780650898029176,0.714136603551397,0.12096714577130555,0.05025567426659293,0.0057829097808780065,0.7536231884057971,0.2693180256072509,1.0,leave_one_out,biochemical,
drop_biochemical,xgboost,13,0.8237816764132553,0.07848020894001409,0.7704025333369346,0.12777179057433605,0.049494732154055726,0.006824781093163647,0.7572463768115942,0.0931280604187414,1.0,leave_one_out,biochemical,
drop_structural_energy,linear_regression,20,0.843599740090968,0.08133938174717247,0.7540728594370852,0.14198186740516902,0.04621834856210309,0.002758477810430921,0.753623188405797,0.5037026287538522,1.0,leave_one_out,structural_energy,
drop_structural_energy,random_forest,20,0.828395061728395,0.07266142701018351,0.731635311280239,0.10738205957656849,0.04958710067191089,0.006083697563633073,0.75,0.25245112046374174,1.0,leave_one_out,structural_energy,
drop_structural_energy,xgboost,20,0.8302794022092268,0.07909913029148062,0.7016268100091629,0.13957517639058367,0.05412579078304334,0.0071565919322549255,0.8152173913043478,0.08882337261700822,1.0,leave_one_out,structural_energy,
drop_residue_context,linear_regression,20,0.8474333983105913,0.07468530237358949,0.7484938555949235,0.12242834223100112,0.0467869668056099,0.0036986106268517252,0.7137681159420289,0.5089624487899863,1.0,leave_one_out,residue_context,
drop_residue_context,random_forest,20,0.8383365821962314,0.07766796631782817,0.7363115666010402,0.11716284641249046,0.049761264188267505,0.006205330349243136,0.6992753623188406,0.2585402576737536,1.0,leave_one_out,residue_context,
drop_residue_context,xgboost,20,0.8628979857050032,0.08651911605425272,0.7831127222355294,0.1401529651364963,0.04978971605562174,0.007394381292092696,0.7536231884057971,0.08552777678662656,0.9714285714285714,leave_one_out,residue_context,
add_alphamissense,linear_regression,1,0.8468486029889538,0.09522917605396282,0.7792669172932332,0.1486001464315724,0.04674441927706312,0.0030134237777672715,0.717391304347826,0.3164305665394822,1.0,forward,,alphamissense
add_alphamissense,random_forest,1,0.7475958414554906,0.07722256659900793,0.683135964597265,0.1019046226573125,0.05507601589007509,0.006472322096011454,0.6322463768115942,0.16974731776610802,0.9428571428571428,forward,,alphamissense
add_alphamissense,xgboost,1,0.7912605588044184,0.07145969769792353,0.7120938108636767,0.07940326258747651,0.05533214525983772,0.005717021755532713,0.6920289855072463,0.09643865632506174,0.9714285714285714,forward,,alphamissense
add_global_structural,linear_regression,4,0.8551656920077972,0.09555267558717678,0.7795892252837558,0.14765544789054244,0.046483565738360696,0.0023674606611238935,0.6956521739130435,0.3362011797540888,1.0,forward,,global_structural
add_global_structural,random_forest,4,0.8341130604288498,0.05418518954474127,0.7129362674362675,0.05867963195613066,0.050110204732447226,0.005807748454525415,0.6956521739130435,0.23402316799300174,1.0,forward,,global_structural
add_global_structural,xgboost,4,0.7862248213125406,0.07309176192699282,0.6972194905579839,0.10025914881696467,0.05619612905265745,0.008390307127678019,0.7608695652173914,0.10242878185757318,0.9428571428571428,forward,,global_structural
add_local_structural,linear_regression,9,0.8502274204028589,0.11032556728793556,0.7609733634115562,0.15537223308617518,0.04694818805100694,0.0037479262353362582,0.6739130434782609,0.37324745262725756,1.0,forward,,local_structural
add_local_structural,random_forest,9,0.7961013645224172,0.09476206311570252,0.6923303566440822,0.09826487006275543,0.05208079072023277,0.0060040881752370726,0.6847826086956522,0.2435370249731781,1.0,forward,,local_structural
add_local_structural,xgboost,9,0.8070825211176087,0.09431631970438145,0.7130957053512356,0.12459659418053952,0.05307570347263272,0.006401817888763137,0.6956521739130435,0.09558668817140537,1.0,forward,,local_structural
add_biochemical,linear_regression,18,0.8410656270305393,0.08536968237819315,0.7449167634213402,0.1473519838148853,0.04686891451861649,0.003077461725217067,0.6847826086956522,0.4739072153776747,1.0,forward,,biochemical
add_biochemical,random_forest,18,0.8307992202729044,0.07510128705124407,0.7369549545998823,0.10696791419996778,0.0497945858038363,0.006058290027021759,0.6992753623188406,0.2433102170988344,1.0,forward,,biochemical
add_biochemical,xgboost,18,0.8389213775178688,0.0726785661742641,0.7028572045238712,0.13672655056082342,0.053260739328752194,0.00883836276614895,0.75,0.0883350371211365,0.9714285714285714,forward,,biochemical
